,Number,Names
93404,93405, From the minute we walked through the door to when we left we were treated like royalty nothing was too much trouble All the staff were friendly polite and couldn t do enough for us The guest manager was Janine and she was wonderful 
93415,93416, The reception staff were very hospitable and helpful
93433,93434, Everything Cannot fault the Montcalm staff for making my second stay here absolutely brilliant Upgraded us to a beautiful park lane suite and made our stay very memorable 
93436,93437, The staff were excellent Friendly and efficient Breakfast was very good 
93440,93441, The staff were incredibly helpful and accomodating I asked for an early book in and late check out and they very kindly obliged That made all the difference to our stay 
93446,93447, As a solo traveller I was surprised to get a suite for the booked price The attention to detail was sublime for decoration to staff first time I have ever been offered a coffee to go on check out small gesture but big gesture 
93475,93476, staff welcome fruit plate lighting tasteful decoration
93485,93486, The staff are just to nice and cooperative They upgraded me to a suite and access to the lounge without asking 
93501,93502, The decoration the staff at the reception
93518,93519, Good value for money with helpful staff Close to big bus tour and shops 
93521,93522, The staff were exceptionally and genuinely friendly and helpful 
93522,93523, the staff was super friendly and helpful
93545,93546, The perfect place to stay in London Absolutely helpful staff Close to everything 
93547,93548, The attentiveness of the staff Very friendly and nothing too much trouble 
93556,93557, Very welcoming staff especially Donna 
93566,93567, Very friendly staff especially Vera at the front desk Very helpful too 
93580,93581, The staff Donna was brilliant and the manager went the extra mile to make my husband birthday special Thank you
93615,93616, Very well located and special attention from the staff very kindly attention
93620,93621, Fantastic front of house and door staff 
93635,93636, Everything especially the staff
93640,93641, Perfect service and excellent staff 
93648,93649, Cleaniness and lication Helpfull staff
93650,93651, The bed was exceptionally comfy The staff were so welcoming and friendly
93651,93652, from start to finish the staff were excellent every member could not do enough
93665,93666, Very friendly staff at the reception 
93667,93668, Excellent breakfast staff were lovely 
93676,93677, great staff warm welcome excellent hospitality
93680,93681, The staff is very helpfull and cooperative 
93681,93682, The staff were brilliant especially the front of house team
93689,93690, Welcome from the staff and door man
93695,93696, The staff couldn t have done more to make us feel welcome and helped to make our anniversary a real treat 
93697,93698, smiling and welcoming staff all the time
93698,93699, Your staff are amazing Charlie Alex remi can t remember everyone names but everyone there is amazing
93721,93722, Courtesy from staff very helpful
93730,93731, Welcome drink on arrival genuine friendly staff 
93736,93737, The staff go above and beyond to ensure everything is perfect
93741,93742, Warm wellcome and staff very friendly 
93744,93745, Staff were so helpful breakfast was very nice staff went the extra mile to make everything good
93778,93779, The staff were so excellent everything was well thought of 
93787,93788, The staff were amazing and nothing was too much trouble the suite we stayed in was lovely
93805,93806, Amaizing and helpfull staff Thank you for making me feel like home 
93811,93812, Brilliant friendly and helpful staff
93817,93818, The desk manager and his staff we re top notch
93823,93824, The staff without exception were wonderful 
93849,93850, Nice place to stay and freindly staff
93851,93852, The staff were so kind and welcoming Very near to Tube station 
93854,93855, Great position and very good staff 
93882,93883, Brilliant staff couldn t be more pleasant
93899,93900, Very good services and helpfully staff
93903,93904, Wonderful time We spent there our 10th anniversary and the staff made everything to make us feel extraordinary
93915,93916, I had an excellent stay staff are amazing really go that extra mile so make your stay special
93922,93923, The front desk staff are extremely helpful and gentle 
93941,93942, Professional attentive and couteous staff
